Observer,Primary Folder,SubFolder,Start Image #,End Image #,Image Subject(s)
,,,2019-05-07-03-14-24,2019-05-07-03-44-24,e
,,,2019-05-07-05-39-24,2019-05-07-05-54-24,e
,,,2019-05-07-06-29-24,2019-05-07-06-33-24,e
,,,2019-05-07-18-00-24,2019-05-07-18-25-24,c
,,,2019-05-07-18-35-24,2019-05-07-18-35-24,c
,,,2019-05-07-18-45-24,2019-05-07-19-40-24,c
,,,2019-05-08-03-24-24,2019-05-08-03-29-24,c
,,,2019-05-08-06-19-24,2019-05-08-06-34-24,c
,,,2019-05-08-18-20-24,2019-05-08-18-35-24,c
,,,2019-05-08-19-05-24,2019-05-08-19-05-24,c
,,,2019-05-08-19-30-24,2019-05-08-19-50-24,c
,,,2019-05-09-00-06-16,2019-05-09-00-09-24,e
,,,2019-05-09-09-24-24,2019-05-09-09-59-24,c
,,,2019-05-09-10-09-24,2019-05-09-10-49-24,c
,,,2019-05-09-10-59-24,2019-05-09-11-54-24,c
,,,2019-05-09-15-30-24,2019-05-09-15-45-24,c
,,,2019-05-09-15-55-24,2019-05-09-16-55-24,c
,,,2019-05-09-17-40-24,2019-05-09-17-40-24,c
,,,2019-05-09-17-43-46,2019-05-09-17-53-06,closer
