Observer,Primary Folder,SubFolder,Start Image #,End Image #,Image Subject(s),Notes
,EFK_08092017_08122017,100EK113,8090001,8090005,humans + dog,
,,,8090530,8090537,elk?,
CM,,101EK113,N/A,N/A,N/A,
,,102EK113,8110025,8110025,hawk,
,,,8110130,8110142,elk,
,,,8120974,8120974,human,
,EFK_08122017_08222017,100EK113,8120001,8120001,human,
,,,8120033,8120042,unidentified mammal,coyote?
,,,8120066,8120066,unidentified bird,
,,,8130459,8130459,unidentified bird,
,,,8130499,8130499,unidentified bird,
,,,8130596,8130600,vehicle,
AS,,101EK113,N/A,N/A,N/A,
,,102EK113,N/A,N/A,N/A,
,,103EK113,8160008,8160008,unknown,
,,,8170896,8170896,unidentified mammal,
,,104EK113,N/A,N/A,N/A,
,,105EK113,N/A,N/A,N/A,
,,106EK113,8200013,8200013,elk,
,,,8200671,8200689,possibly elk,
,,,8200726,8200749,possibly elk,
,,107EK113,8210157,8210176,possibly elk,
,,,8210391,8210517,possibly elk,
,,,8210545,8210653,possibly elk,
,EFK_08222017_09152017_photo_dates_incorrect,100EK113,9290001,9270012,setting up camera,
CM,,101EK113,9290286,9290292,unidentified mammal,cat?
,,,9300717,9300717,unidentified bird,
,,,9300827,9300827,humans,
,,,9300856,9300856,human,
,,,9300900,9300909,human,
,,102EK113,N/A,N/A,N/A,
,,103EK113,10020214,10020216,horseback riders + dog,
,,104EK113,10030051,10030060,coyote,
,,,10040656,10040656,hikers,
,,105EK113,10040262,10040262,vehicles,
AS,,106EK113,10060201,10060207,blurry mammel pack,
,,,10060339,10060339,unidentified bird,
,,,10060648,10060648,possible elk herd,
CM,,107EK113,10070522,10070522,unidentified bird,
,,,10070606,10070606,unknown,
,,108EK113,10080239,10080239,coyote,
,,,10080457,10080465,elk,
,,,10090844,10090844,human + dog,
,,109EK113,10100416,10100416,coyote?,
,,,10100580,10100581,person,
,,,10100858,10100864,vehicle,
,,110EK113,10110507,10110511,person,
,,111EK113,10120045,10120045,pronghorn,
,,,10120330,10120330,unidentified bird,
,,,10120452,10120452,unidentified birds,
,,,10120474,10120474,unidentified bird,
,,,10120514,10120514,unidentified bird,
,,,10120616,10120644,elk,
,,,10130978,10130978,unidentified bird,
AS,,112EK113,10140759,10140759,unidentified bird,
,,113EK113,N/A,N/A,N/A,
,,114EK113,10160239,10160239,human,Brett?
,EFK_09192017_10062017,100EK113,10190184,10190184,vehicle,
,,,10200605,10200631,elk,
,,,10200771,10200784,unidentified mammals,
,,101EK113,10200002,10200002,unidentified bird,
,,,10210199,10210201,unidentified mammals,
,,,10220463,10220474,unidentified mammals,
,,,10220515,10220527,elk,
,,102EK113,10230273,10230275,unidentified mammal,
,,,10230742,10230749,hikers,
,,103EK113,N/A,N/A,N/A,
,,104EK113,10260653,10260682,elk,
,,,10260728,10260734,unidentified mammals,
,,,10260752,10260756,coyote,
,,,10260981,10260981,unidentified canine,
,,105EK113,10260213,10260215,horseback riders,
,,,10270476,10270490,elk herd,
,,,10270601,10270609,unidentified canines,
,,,10270616,10270620,unidentified mammals,
,,,10270902,10270903,unidentified birds,
,,106EK113,10270219,10270230,unidentified mammals,
CM,,107EK113,10290098,10290098,deer,
,,,10290140,10290140,unidentified bird,
,,,10290655,10290655,unidentified mammal,
,,,10290674,10290722,coyote,
,,108EK113,10300201,10300201,deer,
,,,10300550,10300551,unidentified mammal,
,,109EK113,11020582,11010590,coyotes,
AS,EFK_10092017_11062017,100EK113,10090001,10090008,setting up camera,
,,,10100551,10100554,elk,
,,,10100581,10100606,unidentified canine,
,,,10100610,10100612,elk,
,,,10100750,10100763,unidentified canine,
,,101EK113,10100164,10100164,unidentified canine,
,,,10100190,10100204,elk,
,,,10110844,10110847,elk,
,,,10110889,10110904,elk,
,,,10120932,10120939,elk,
,,,10120946,10120948,elk,
,,102EK113,10120107,10120116,unidentified canine,
,,103EK113,N/A,N/A,N/A,
,,104EK113,10150079,10150085,elk and unidentified canines,
,,,10150095,10150096,unidentified canines,
,,,10150193,10150193,unidentified canine,
,,,10150267,10150279,unidentified canine,
,,,10160953,10160968,unidentified canines,
,,105EK113,10160062,10160066,coyotes ,
,,,10160268,10160268,unidentified bird,
,,,10160325,10160326,unidentifed mammal,
,,,10160339,10160346,elk,
,,,10160362,10160362,elk,
,,106EK113,10170111,10170117,elk,
,,,10190989,10190989,wolf,
AS,,107EK113,10190430,10190430,unidentified bird,
,,108EK113,N/A,N/A,N/A,
,,109EK113,N/A,N/A,N/A,
,,110EK113,10230418,10230418,unidentifed mammal,
,,,10230426,10230428,unidentifed mammal,
,,111EK113,10250591,10250591,unidentified bird,
,,,10250646,10250692,elk,
AS,,112EK113,10260026,10260029,unidentified canine,
,,113EK113,10280554,10280554,unidentified bird,
,,,10280863,10280876,elk,
,,,10280886,10280886,elk,
,,,10280939,10280940,elk,
,,,10280991,10280993,elk,
,,114EK113,10290589,10290589,unidentifed mammal,
,,,10300725,10300755,elk,
,,,10300761,10300762,elk,
,,,10300770,10300770,elk,
,,,10300775,10300781,elk,
,,,10300802,10300803,elk,
,,115EK113,10300132,10300132,unidentified canine,
,,,10300144,10300157,unidentified canine,
,,,10300240,10300243,unidentifed mammal,
,,,10300252,10300259,unidentified canine,
,,,10300284,10300289,unidentified canine,
,,,10300413,10300438,elk,
,,,10310537,10310537,unknown,
,,116EK113,11010451,1101452,coyote,
,,,11010481,11010481,unidentified bird,
,,,11010548,11010548,unidentified bird,
,,,11010742,11010742,unidentified bird,
,,,11010745,11010745,unidentified bird,
,,117EK113,11030578,11030578,deer,
,,118EK113,N/A,N/A,N/A,
,,119EK113,11050632,11050642,elk,
,,,11050646,11050646,elk,
,,,11060774,11060775,unidentifed mammals,
,,,11060997,11060997,taking down camera,
AJS,EFK_04122018_05162018,100EK113,4120001,4120007,h,camera setup
,,,4120013,4120014,d/h,
,,,4130934,4130938,e,
,,101EK113,4140067,4140091,e,
,,,4150794,4150812,e,
,,102EK113,4160924,4160924,v,
,,,4160932,4160934,v,
,,103EK113,4170935,4170999,e,
,,104EK113,4170001,4170024,e,
,,,4180081,4180117,e,
,,105EK113,4200554,4200578,e,
,,,4200646,4200649,v,
,,,4200811,4200812,e,
,,,4200859,4200866,coyote/wolves,
,,,4200871,4200871,coyotes,
,,106EK113,4210737,4210746,coyotes/wolves,
,,107EK113,4220783,4220807,e,
,,108EK113,4230055,4230057,coyote,
,,,4230430,4230431,e,
,,,4230562,4230562,e,
,,109EK113,4240277,4240279,e,
,,,4250682,4250688,p,
,,110EK113,4250057,4250059,u,
,,,4260679,4260817,coyote/wolves and e,
,,,4270857,4270870,turkey,
,,111EK113,4270394,4270397,e,
,,112EK113,4280220,4280241,coyote,
,,,4280308,4280317,e,
,,,4290369,4290372,turkey,
,,113EK113,4300727,4300730,e,
,,,4300751,4300760,e,
,,114EK113,X,X,X,
,,115EK113,5030424,5030426,coyote/wolf,
,,,5030833,5030836,e,
,,116EK113,5040188,5040193,coyote/wolf,
,,,5040280,5040283,coyote/wolf,
,,,5040306,5040409,coyote/wolf,
,,,5040724,5040724,u,
,,117EK113,5060742,5060747,coyote,
,,118RK113,5060235,5060239,coyote,
,,,5070401,5070428,coyote,
,,,5070950,5070961,coyote,
,,119EK113,5070068,5070088,e,
,,,5080121,5080136,coyote,
,,,5080438,5080448,coyote,
,,,5080705,5080770,e,
,,,5080775,5080775,e,
,,,5080795,5080839,e,
,,120EK113,5090054,5090063,coyote,
,,,5090228,5090244,coyote,
,,,5100643,5100742,c,
,,,5100787,5100835,c,
,,,5100864,5100865,v,
,,,5100866,5100866,p,
,,,5100883,5100888,c,
,,121EK113,5100097,5100137,c,
,,,5100147,5100181,c,
,,,5100276,5100343,c,
,,,5110364,5110369,turkey,
,,122EK113,5110053,5110080,e,
,,,5120096,5120298,c,
,,,5120779,5120787,u,
,,,5130865,5130865,e,
,,123EK113,X,X,X,
,,,,,,
AJS,EFK_06122018_07122018,100EK113,6120001,6120101,p/c,
,,,6130117,6130270,c,
,,,6130282,6130284,e,
,,,6140294,6140307,c,
,,,6140317,6140342,c,
,,,6140349,6140371,c,
,,,6140419,6140419,c,
,,,6150490,6150629,c,
,,,6150646,6150646,c,
,,,6160677,6160677,u,
,,,6160727,6160731,c,
,,,6160744,6160744,c,
,,,6160794,6160804,c,
,,,6160828,6160830,c,
,,,6170943,6170986,c,
,,,6170991,6170996,c,
,,101EK113,6170016,6170018,e,
,,,6180061,6180069,c,
,,,6180074,6180087,c,
,,,6180094,6180124,c,
,,,6180135,6180138,a,
,,,6180145,6180206,c,
,,,6190241,6190380,c,
,,,6200393,6200402,c,
,,,6200421,6200574,c/e,
,,,6210578,6210613,c,
,,,6210620,6210620,C,
,,,6210633,6210637,C,
,,,6210655,6210656,c,
,,,6210662,6210757,c/e,
,,,6220765,6220801,c,
,,,6220807,6220818,c,
,,,6220832,6220832,p,on horseback
,,,6220880,6220880,c,
,,,6220889,6220889,c,
,,,6220909,6220923,c,
,,,6220934,6220935,c,
,,,6230943,6230948,e,
,,,6230950,6230954,e,
,,,6230963,6230968,e/a,
,,,6230993,6230993,e,
,,102EK113,6230048,6230060,c,
,,,6230067,6230069,c,
,,,6230112,6230112,a,
,,,6230119,6230121,e,
,,,6230124,6230129,e,
